total,fake,length,image,duplicate,timeGap,label
2,0,250,0,0,120,0
3,0,180,1,0,90,0
5,0,320,1,0,60,0
1,0,150,0,0,240,0
4,0,280,1,0,45,0
6,0,200,1,0,30,0
8,0,350,1,0,20,0
2,0,120,0,0,180,0
7,0,290,1,0,35,0
3,0,220,0,0,75,0
9,1,400,1,0,25,0
5,0,260,1,0,50,0
4,0,180,0,0,65,0
10,0,310,1,0,15,0
6,0,230,1,0,40,0
8,0,170,0,0,55,0
3,0,340,1,0,80,0
7,0,190,1,0,28,0
5,0,270,0,0,48,0
2,0,210,0,0,100,0
12,3,80,1,0,10,1
15,5,45,0,1,5,1
20,8,30,0,1,3,1
10,2,120,1,1,15,1
18,6,50,0,1,4,1
25,10,25,0,1,2,1
14,4,90,1,0,8,1
22,9,35,0,1,3,1
11,3,110,1,1,12,1
16,7,40,0,1,6,1
19,8,55,1,1,5,1
13,5,70,0,0,9,1
21,9,30,0,1,2,1
17,6,60,1,1,7,1
24,10,20,0,1,1,1
12,4,100,1,0,11,1
15,6,45,0,1,4,1
20,7,35,1,1,3,1
14,5,85,0,0,8,1
3,0,300,1,0,55,0
6,0,250,0,0,42,0
9,0,380,1,0,18,0
4,0,200,1,0,70,0
7,0,330,0,0,33,0
5,0,270,1,0,52,0
8,0,190,0,0,38,0
11,2,150,1,0,14,1
13,4,95,0,1,10,1
16,5,65,1,0,6,1
18,6,40,0,1,4,1

